分数,本段人数,累计人数
201,6,107567
200,2,107569
199,2,107571
198,6,107577
197,5,107582
196,3,107585
195,4,107589
194,4,107593
193,3,107596
192,3,107599
191,0,107599
190,4,107603
189,1,107604
188,1,107605
187,3,107608
186,2,107610
185,5,107615
184,0,107615
183,4,107619
182,0,107619
181,5,107624
180,4,107628
