分数,本段人数,累计人数
224,9,177493
223,22,177515
222,15,177530
221,18,177548
220,15,177563
219,14,177577
218,11,177588
217,12,177600
216,16,177616
215,14,177630
214,15,177645
213,14,177659
212,10,177669
211,14,177683
210,9,177692
209,3,177695
208,5,177700
207,5,177705
206,7,177712
205,9,177721
204,7,177728
203,7,177735
202,6,177741
201,5,177746
200,12,177758
199,9,177767
198,5,177772
197,5,177777
196,4,177781
195,1,177782
194,2,177784
193,4,177788
192,2,177790
191,1,177791
190,1,177792
189,8,177800
188,10,177810
187,2,177812
186,0,177812
185,1,177813
184,0,177813
183,3,177816
182,2,177818
181,2,177820
180,3,177823
